,name,reviews.username,reviews.rating,cleanliness,food,comfortable
108,Hawthorn Suites By Wyndham Livermore Wine Country,A Traveler,5.0,5,5,4
109,Hawthorn Suites By Wyndham Livermore Wine Country,Nicole,4.0,3,5,3
110,Hawthorn Suites By Wyndham Livermore Wine Country,Debra,3.0,2,4,4
111,Hawthorn Suites By Wyndham Livermore Wine Country,254vatsanap,3.0,2,3,4
112,Hawthorn Suites By Wyndham Livermore Wine Country,Will,5.0,4,4,5
113,Hawthorn Suites By Wyndham Livermore Wine Country,Barbara,3.0,3,3,4
114,Hawthorn Suites By Wyndham Livermore Wine Country,A Traveler,3.0,3,3,2
115,Hawthorn Suites By Wyndham Livermore Wine Country,Diane R,5.0,5,4,5
116,Hawthorn Suites By Wyndham Livermore Wine Country,Kerry,5.0,4,4,5
117,Hawthorn Suites By Wyndham Livermore Wine Country,Kerry,2.0,3,3,3
118,Hawthorn Suites By Wyndham Livermore Wine Country,A Traveler,5.0,4,4,4
119,Hawthorn Suites By Wyndham Livermore Wine Country,Robert,4.0,4,3,4
120,Hawthorn Suites By Wyndham Livermore Wine Country,Rita K,4.0,3,5,3
121,Hawthorn Suites By Wyndham Livermore Wine Country,KH,3.0,2,3,4
122,Hawthorn Suites By Wyndham Livermore Wine Country,Robert,5.0,5,4,5
123,Hawthorn Suites By Wyndham Livermore Wine Country,Will,4.0,4,4,5
124,Hawthorn Suites By Wyndham Livermore Wine Country,Jason D,5.0,5,4,5
125,Hawthorn Suites By Wyndham Livermore Wine Country,Dale,4.0,5,4,4
126,Hawthorn Suites By Wyndham Livermore Wine Country,Christian,4.0,5,4,5
127,Hawthorn Suites By Wyndham Livermore Wine Country,Ellen M,4.0,5,4,5
128,Hawthorn Suites By Wyndham Livermore Wine Country,Jesus,4.0,3,5,5
129,Hawthorn Suites By Wyndham Livermore Wine Country,A Traveler,5.0,5,4,5
130,Hawthorn Suites By Wyndham Livermore Wine Country,Silvio S,5.0,4,5,5
131,Hawthorn Suites By Wyndham Livermore Wine Country,Tracy,5.0,4,4,5
132,Hawthorn Suites By Wyndham Livermore Wine Country,A Traveler,5.0,5,5,5
133,Hawthorn Suites By Wyndham Livermore Wine Country,mary ann,3.0,2,4,2
134,Hawthorn Suites By Wyndham Livermore Wine Country,A Traveler,4.0,4,5,3
135,Hawthorn Suites By Wyndham Livermore Wine Country,A Traveler,4.0,5,3,5
136,Hawthorn Suites By Wyndham Livermore Wine Country,Anthony,3.0,4,2,4
137,Hawthorn Suites By Wyndham Livermore Wine Country,super dave,3.0,3,4,4
138,Hawthorn Suites By Wyndham Livermore Wine Country,Edward,4.0,3,3,3
139,Hawthorn Suites By Wyndham Livermore Wine Country,Corwin,2.0,3,3,2
140,Hawthorn Suites By Wyndham Livermore Wine Country,Anthony J.,5.0,4,4,5
141,Hawthorn Suites By Wyndham Livermore Wine Country,williammI6429FL,5.0,4,4,4
142,Hawthorn Suites By Wyndham Livermore Wine Country,Michael,5.0,4,5,5
143,Hawthorn Suites By Wyndham Livermore Wine Country,A Traveler,5.0,5,5,4
144,Hawthorn Suites By Wyndham Livermore Wine Country,A Traveler,2.0,3,2,3
145,Hawthorn Suites By Wyndham Livermore Wine Country,A Traveler,5.0,4,4,4
146,Hawthorn Suites By Wyndham Livermore Wine Country,Kristy,5.0,5,4,5
147,Hawthorn Suites By Wyndham Livermore Wine Country,Gretchen L,2.0,1,2,2
148,Hawthorn Suites By Wyndham Livermore Wine Country,A Traveler,5.0,5,4,4
149,Hawthorn Suites By Wyndham Livermore Wine Country,A Traveler,5.0,4,5,4
150,Hawthorn Suites By Wyndham Livermore Wine Country,Ronnie,3.0,4,2,4
151,Hawthorn Suites By Wyndham Livermore Wine Country,A Traveler,4.0,3,3,4
152,Hawthorn Suites By Wyndham Livermore Wine Country,Kathy,5.0,5,4,5
153,Hawthorn Suites By Wyndham Livermore Wine Country,barbarasN4851GR,5.0,4,4,5
154,Hawthorn Suites By Wyndham Livermore Wine Country,Melanie,4.0,3,5,4
155,Hawthorn Suites By Wyndham Livermore Wine Country,derekh306,4.0,4,4,3
156,Hawthorn Suites By Wyndham Livermore Wine Country,A Traveler,5.0,5,5,4
157,Hawthorn Suites By Wyndham Livermore Wine Country,Margaret,5.0,4,4,5
158,Hawthorn Suites By Wyndham Livermore Wine Country,P,5.0,5,4,5
159,Hawthorn Suites By Wyndham Livermore Wine Country,Z9573YVangelac,5.0,5,5,5
160,Hawthorn Suites By Wyndham Livermore Wine Country,ResQ4o8,3.0,4,2,4
161,Hawthorn Suites By Wyndham Livermore Wine Country,A Traveler,5.0,5,4,5
162,Hawthorn Suites By Wyndham Livermore Wine Country,H5459BLlindak,2.0,3,1,3
163,Hawthorn Suites By Wyndham Livermore Wine Country,A Traveler,5.0,5,5,4
164,Hawthorn Suites By Wyndham Livermore Wine Country,357skylah,1.0,2,1,2
165,Hawthorn Suites By Wyndham Livermore Wine Country,Isaac,4.0,3,4,4
166,Hawthorn Suites By Wyndham Livermore Wine Country,sheldong49,2.0,3,1,1
167,Hawthorn Suites By Wyndham Livermore Wine Country,K,4.0,5,5,3
168,Hawthorn Suites By Wyndham Livermore Wine Country,amandaaZ891SU,3.0,3,3,4
169,Hawthorn Suites By Wyndham Livermore Wine Country,Q9280YYamandab,5.0,4,5,5
170,Hawthorn Suites By Wyndham Livermore Wine Country,caseyj245,5.0,5,5,4
171,Hawthorn Suites By Wyndham Livermore Wine Country,A Traveler,4.0,5,3,3
172,Hawthorn Suites By Wyndham Livermore Wine Country,128vickir,4.0,3,5,4
173,Hawthorn Suites By Wyndham Livermore Wine Country,Linda K,3.0,4,2,2
174,Hawthorn Suites By Wyndham Livermore Wine Country,A Tabitha S,5.0,4,5,5
175,Hawthorn Suites By Wyndham Livermore Wine Country,Laniann5,5.0,4,4,4
176,Hawthorn Suites By Wyndham Livermore Wine Country,804nanl,4.0,3,3,5
177,Hawthorn Suites By Wyndham Livermore Wine Country,347bbo,3.0,3,4,3
178,Hawthorn Suites By Wyndham Livermore Wine Country,804kathyk,5.0,5,5,4
179,Hawthorn Suites By Wyndham Livermore Wine Country,John,4.0,4,3,4
180,Hawthorn Suites By Wyndham Livermore Wine Country,Amanda P,1.0,2,2,1
181,Hawthorn Suites By Wyndham Livermore Wine Country,B5385MSkathleenm,5.0,4,4,5
182,Hawthorn Suites By Wyndham Livermore Wine Country,jasontK8812XZ,1.0,2,2,1
183,Hawthorn Suites By Wyndham Livermore Wine Country,Martha M,3.0,3,4,2
184,Fairfield Inn By Marriott Binghamton,Michael,4.0,4,4,3
185,Fairfield Inn By Marriott Binghamton,A Traveler,5.0,4,5,4
186,Fairfield Inn By Marriott Binghamton,Becky,4.0,3,3,3
187,Fairfield Inn By Marriott Binghamton,Jonathan,1.0,1,2,2
188,Fairfield Inn By Marriott Binghamton,ken,5.0,4,4,4
189,Fairfield Inn By Marriott Binghamton,David,5.0,4,4,4
190,Fairfield Inn By Marriott Binghamton,A Traveler,3.0,4,4,4
191,Fairfield Inn By Marriott Binghamton,A Traveler,5.0,4,5,4
192,Fairfield Inn By Marriott Binghamton,Alain,5.0,4,5,4
193,Fairfield Inn By Marriott Binghamton,Emma,5.0,4,4,5
194,Fairfield Inn By Marriott Binghamton,A Traveler,4.0,5,5,5
195,Fairfield Inn By Marriott Binghamton,John M,2.0,1,3,1
196,Fairfield Inn By Marriott Binghamton,daniel,4.0,4,3,5
197,Fairfield Inn By Marriott Binghamton,A Traveler,3.0,2,2,2
198,Fairfield Inn By Marriott Binghamton,A Traveler,1.0,2,1,1
199,Fairfield Inn By Marriott Binghamton,Suzanne,4.0,3,4,4
200,Fairfield Inn By Marriott Binghamton,A Traveler,4.0,5,5,4
201,Fairfield Inn By Marriott Binghamton,dana,4.0,3,4,4
202,Fairfield Inn By Marriott Binghamton,Lynette,4.0,5,4,5
203,Fairfield Inn By Marriott Binghamton,Loraine,4.0,3,4,3
204,Fairfield Inn By Marriott Binghamton,Victor,5.0,5,5,5
205,Fairfield Inn By Marriott Binghamton,Ct,5.0,5,4,5
206,Fairfield Inn By Marriott Binghamton,Patti,5.0,5,5,5
207,Fairfield Inn By Marriott Binghamton,A Traveler,2.0,1,1,2
208,Fairfield Inn By Marriott Binghamton,A Traveler,5.0,5,5,4
209,Fairfield Inn By Marriott Binghamton,Tom,5.0,4,5,4
210,Fairfield Inn By Marriott Binghamton,A Traveler,4.0,3,3,5
211,Fairfield Inn By Marriott Binghamton,A Traveler,4.0,3,5,4
212,Fairfield Inn By Marriott Binghamton,A Traveler,5.0,5,4,5
213,Fairfield Inn By Marriott Binghamton,Diping,4.0,5,3,5
214,Fairfield Inn By Marriott Binghamton,Loraine,5.0,5,4,4
215,Fairfield Inn By Marriott Binghamton,Richard,4.0,5,3,5
216,Fairfield Inn By Marriott Binghamton,A Traveler,3.0,2,4,3
217,Fairfield Inn By Marriott Binghamton,Gilles,4.0,5,4,5
218,Fairfield Inn By Marriott Binghamton,brigitte,5.0,5,5,5
219,Fairfield Inn By Marriott Binghamton,David,5.0,5,4,5
220,Fairfield Inn By Marriott Binghamton,michael,4.0,5,5,3
221,Fairfield Inn By Marriott Binghamton,Jon,4.0,3,5,4
222,Fairfield Inn By Marriott Binghamton,Meg,5.0,5,4,5
223,Fairfield Inn By Marriott Binghamton,Ed,4.0,3,3,5
224,Fairfield Inn By Marriott Binghamton,A Traveler,4.0,5,3,4
225,Fairfield Inn By Marriott Binghamton,A Traveler,5.0,5,5,5
226,Fairfield Inn By Marriott Binghamton,Pat,5.0,4,4,5
227,Fairfield Inn By Marriott Binghamton,Theresa,5.0,5,4,4
228,Fairfield Inn By Marriott Binghamton,A Traveler,3.0,3,3,4
229,Fairfield Inn By Marriott Binghamton,A Traveler,4.0,3,5,3
230,Fairfield Inn By Marriott Binghamton,EVELYN,5.0,4,5,4
231,Fairfield Inn By Marriott Binghamton,A Traveler,4.0,5,3,4
232,Fairfield Inn By Marriott Binghamton,Sam,4.0,4,5,4
233,Fairfield Inn By Marriott Binghamton,Barbara,4.0,4,5,4
234,Fairfield Inn By Marriott Binghamton,Barbara,3.0,4,2,2
235,Fairfield Inn By Marriott Binghamton,A Traveler,5.0,4,4,4
236,Fairfield Inn By Marriott Binghamton,Gareth Dickson,5.0,5,5,5
237,Fairfield Inn By Marriott Binghamton,A Traveler,3.0,3,2,2
238,Fairfield Inn By Marriott Binghamton,A Traveler,5.0,5,4,5
239,Fairfield Inn By Marriott Binghamton,Ira,4.0,4,4,4
240,Fairfield Inn By Marriott Binghamton,Ira,3.0,3,3,3
241,Fairfield Inn By Marriott Binghamton,A Traveler,3.0,4,4,2
242,Fairfield Inn By Marriott Binghamton,A Traveler,4.0,4,3,5
243,Fairfield Inn By Marriott Binghamton,A Traveler,5.0,5,5,5
244,Fairfield Inn By Marriott Binghamton,A Traveler,5.0,5,4,4
245,Fairfield Inn By Marriott Binghamton,A Traveler,4.0,3,4,5
246,Fairfield Inn By Marriott Binghamton,James,4.0,3,5,4
247,Howard Johnson,xxxxxxxxxxxxxx,0.0,1,1,1
248,La Quinta,margierodriguez.mcqueen,1.0,1,1,2
249,Days Inn El Reno Ok,Stephen,3.0,3,4,4
250,Days Inn El Reno Ok,A Traveler,2.0,1,3,1
251,Days Inn El Reno Ok,samuel,3.0,4,3,4
252,Days Inn El Reno Ok,Maerian,5.0,5,5,5
253,Days Inn El Reno Ok,A Traveler,3.0,3,2,2
254,Days Inn El Reno Ok,Samantha,3.0,2,3,3
255,Days Inn El Reno Ok,A Traveler,4.0,3,4,4
256,Days Inn El Reno Ok,Larry B,4.0,3,4,4
257,Days Inn El Reno Ok,E. A. Gilliland,1.0,2,1,2
258,Days Inn El Reno Ok,Mary Kay,3.0,3,2,2
259,Days Inn El Reno Ok,A Traveler,5.0,5,5,5
260,Days Inn El Reno Ok,Rita,1.0,1,2,1
261,Days Inn El Reno Ok,A Traveler,2.0,2,1,1
262,Days Inn El Reno Ok,A Traveler,2.0,1,1,2
263,Days Inn El Reno Ok,A Traveler,3.0,3,3,4
264,Days Inn El Reno Ok,Verdella,4.0,5,3,5
265,Days Inn El Reno Ok,Bernbag,3.0,3,3,4
266,Days Inn El Reno Ok,A Traveler,3.0,4,4,4
267,Days Inn El Reno Ok,Jennifer,3.0,4,2,4
268,Days Inn El Reno Ok,ramubarupati1,5.0,5,4,5
269,Days Inn El Reno Ok,596kassier,3.0,3,2,3
270,Days Inn El Reno Ok,Maureen B,1.0,1,1,1
271,Days Inn El Reno Ok,Ohioans_7,4.0,3,3,5
272,Days Inn El Reno Ok,Jodi R,4.0,3,3,4
273,Days Inn El Reno Ok,TravelCyclingMom,2.0,2,1,1
274,Days Inn El Reno Ok,juliep702016,5.0,4,4,4
275,Days Inn El Reno Ok,247galeg,1.0,1,1,1
276,Days Inn El Reno Ok,Kim T,3.0,4,3,2
277,Days Inn El Reno Ok,468harryy,1.0,1,1,1
278,Days Inn El Reno Ok,U5278KArichardr,4.0,3,4,3
279,Days Inn El Reno Ok,A Traveler,2.0,1,1,2
280,Gresham Area Hotels,write a review,0.0,1,1,1
281,Berney Fly Bed and Breakfast,terrir154,5.0,4,4,5
282,Berney Fly Bed and Breakfast,Juliette R,3.0,4,2,3
283,Berney Fly Bed and Breakfast,Rbander,5.0,5,4,5
284,Berney Fly Bed and Breakfast,RexJoe,5.0,4,4,5
285,Berney Fly Bed and Breakfast,Danielle F,3.0,3,4,2
286,Berney Fly Bed and Breakfast,Evon I,5.0,5,4,5
287,Berney Fly Bed and Breakfast,Green-Ange,5.0,5,4,5
288,Berney Fly Bed and Breakfast,Marq,5.0,5,5,4
289,Berney Fly Bed and Breakfast,WallaceCube,5.0,5,4,4
290,Berney Fly Bed and Breakfast,Phil C,5.0,5,5,5
291,Berney Fly Bed and Breakfast,bhorton72,5.0,4,5,5
292,Berney Fly Bed and Breakfast,JoBrune,5.0,4,4,5
293,Berney Fly Bed and Breakfast,Carlyaj27,5.0,5,5,5
294,Berney Fly Bed and Breakfast,TaylorP61,4.0,4,3,3
295,Berney Fly Bed and Breakfast,sj-jj-houston,5.0,5,5,4
296,Berney Fly Bed and Breakfast,Herb S,4.0,3,4,4
297,Berney Fly Bed and Breakfast,Gaetano S,5.0,5,5,4
298,Berney Fly Bed and Breakfast,Nancycak3s,5.0,4,4,4
299,Berney Fly Bed and Breakfast,pjb0st0n,5.0,4,5,5
300,Berney Fly Bed and Breakfast,cindi777,5.0,4,5,5
301,Berney Fly Bed and Breakfast,Trine1301,5.0,5,4,5
302,Berney Fly Bed and Breakfast,ghgfam,1.0,2,2,1
303,Berney Fly Bed and Breakfast,Lurob,5.0,4,5,4
304,Berney Fly Bed and Breakfast,Marq,5.0,5,5,4
305,Berney Fly Bed and Breakfast,Judiec10,5.0,4,4,4
306,Berney Fly Bed and Breakfast,Sheldon M,4.0,3,3,3
307,Berney Fly Bed and Breakfast,slobob,3.0,2,4,4
308,Berney Fly Bed and Breakfast,williams1942,5.0,5,4,4
309,Berney Fly Bed and Breakfast,cheerio212,5.0,5,5,4
310,Berney Fly Bed and Breakfast,Keith B,4.0,5,5,3
311,Berney Fly Bed and Breakfast,Keith_Lynn01,5.0,5,4,4
312,Berney Fly Bed and Breakfast,Steven Flaskerud,5.0,4,4,5
313,Berney Fly Bed and Breakfast,janice s,4.0,4,3,4
314,Berney Fly Bed and Breakfast,weddingwife,4.0,3,5,3
315,Berney Fly Bed and Breakfast,Steven Flaskerud,4.0,4,3,4
316,Berney Fly Bed and Breakfast,Leonard T,5.0,5,4,4
317,Berney Fly Bed and Breakfast,PinaNestor,5.0,5,4,5
318,Polynesian Plaza,Jerliebeanz,3.0,4,3,2
319,Polynesian Plaza,Steph K,3.0,2,2,2
320,Polynesian Plaza,fordpipefitter,2.0,2,2,3
321,Polynesian Plaza,AlaskanWanderlust89,1.0,1,1,2
322,Polynesian Plaza,Mary R,5.0,5,4,4
323,Polynesian Plaza,John M,3.0,3,3,2
324,Polynesian Plaza,Maria R,4.0,3,4,3
325,Polynesian Plaza,JanetH072015,4.0,3,4,4
326,Polynesian Plaza,Photoshopace,3.0,2,4,2
327,Polynesian Plaza,Sharon T,1.0,1,2,2
328,Polynesian Plaza,342guillermol,1.0,2,1,1
329,Polynesian Plaza,Niki_au,4.0,4,5,4
330,Polynesian Plaza,541claire,5.0,5,4,5
331,Polynesian Plaza,LiveFreeOrTravel,4.0,3,5,5
332,Polynesian Plaza,Clare F,4.0,4,5,5
333,Polynesian Plaza,Amelia Storer,4.0,5,5,4
334,Polynesian Plaza,Heather A,3.0,2,2,3
335,Polynesian Plaza,Vernon G,4.0,5,3,5
336,Polynesian Plaza,NannypHerveyBay,2.0,1,2,1
337,Polynesian Plaza,Neil C,4.0,5,3,4
338,Polynesian Plaza,Shaun F,1.0,1,2,1
339,Hotel Vier Jahreszeiten KÜhlungsborn,A Traveler,5.0,4,4,5
340,Hotel Vier Jahreszeiten KÜhlungsborn,A Traveler,3.0,2,3,4
341,Hotel Vier Jahreszeiten KÜhlungsborn,Molly,5.0,5,4,4
342,Hotel Vier Jahreszeiten KÜhlungsborn,Todor,5.0,5,5,5
343,Hotel Vier Jahreszeiten KÜhlungsborn,A Traveler,3.0,4,2,4
344,Hotel Vier Jahreszeiten KÜhlungsborn,Antje,4.0,4,4,4
345,Hotel Vier Jahreszeiten KÜhlungsborn,A Traveler,4.0,4,5,5
346,Hotel Vier Jahreszeiten KÜhlungsborn,A Traveler,4.0,3,4,4
347,Hotel Vier Jahreszeiten KÜhlungsborn,A Traveler,3.0,3,3,2
348,Hotel Vier Jahreszeiten KÜhlungsborn,A Traveler,4.0,4,5,4
349,Hotel Vier Jahreszeiten KÜhlungsborn,G��nter,4.0,5,4,5
350,Hotel Vier Jahreszeiten KÜhlungsborn,A Traveler,3.0,2,4,3
351,Hotel Vier Jahreszeiten KÜhlungsborn,Nastassja,4.0,4,5,5
352,Hotel Vier Jahreszeiten KÜhlungsborn,linda,1.0,1,1,2
353,Hotel Vier Jahreszeiten KÜhlungsborn,Hans,5.0,4,5,4
354,Hotel Vier Jahreszeiten KÜhlungsborn,A Traveler,4.0,4,3,3
355,Hotel Vier Jahreszeiten KÜhlungsborn,A Traveler,5.0,5,4,5
356,Hotel Vier Jahreszeiten KÜhlungsborn,Fam. Wei��,5.0,5,5,5
357,Hotel Vier Jahreszeiten KÜhlungsborn,Fam. Wei��,4.0,3,5,4
358,Hotel Vier Jahreszeiten KÜhlungsborn,Martina,4.0,4,5,5
359,Hotel Vier Jahreszeiten KÜhlungsborn,Christian,4.0,4,4,5
360,Hotel Vier Jahreszeiten KÜhlungsborn,Christian,4.0,5,5,3
361,Hotel Vier Jahreszeiten KÜhlungsborn,Cathrin u Ralph,4.0,4,4,5
362,Hotel Vier Jahreszeiten KÜhlungsborn,��lteres Ehepaar,4.0,4,4,5
363,Hotel Vier Jahreszeiten KÜhlungsborn,��lteres Ehepaar,3.0,3,2,2
364,Hotel Vier Jahreszeiten KÜhlungsborn,Stefan,2.0,2,1,2
365,Hotel Vier Jahreszeiten KÜhlungsborn,Achim,4.0,3,3,4
366,Hotel Vier Jahreszeiten KÜhlungsborn,A Traveler,5.0,5,5,4
367,Hotel Vier Jahreszeiten KÜhlungsborn,Andrea Wolff,5.0,5,4,5
368,Hotel Vier Jahreszeiten KÜhlungsborn,marcel,5.0,4,5,4
369,Hotel Vier Jahreszeiten KÜhlungsborn,A Traveler,4.0,5,3,4
370,Hotel Vier Jahreszeiten KÜhlungsborn,VOSSI,4.0,3,5,4
371,Hotel Vier Jahreszeiten KÜhlungsborn,VOSSI,5.0,5,4,4
372,Hotel Vier Jahreszeiten KÜhlungsborn,A Traveler,5.0,4,4,4
373,Hotel Vier Jahreszeiten KÜhlungsborn,Michaela,4.0,3,4,3
374,Hotel Vier Jahreszeiten KÜhlungsborn,Jule,3.0,3,3,2
375,Hotel Vier Jahreszeiten KÜhlungsborn,Gabi,4.0,4,4,3
376,Hotel Vier Jahreszeiten KÜhlungsborn,Hufi,4.0,5,5,5
377,Hotel Vier Jahreszeiten KÜhlungsborn,Janett,4.0,3,4,3
378,Hotel Vier Jahreszeiten KÜhlungsborn,Rolf,4.0,4,4,4
379,Hotel Vier Jahreszeiten KÜhlungsborn,Rolf,5.0,5,4,4
380,Hotel Vier Jahreszeiten KÜhlungsborn,Janette,5.0,5,5,5
381,Hotel Vier Jahreszeiten KÜhlungsborn,Iris,4.0,5,5,5
382,Hotel Vier Jahreszeiten KÜhlungsborn,Diana,4.0,4,3,5
383,Hotel Vier Jahreszeiten KÜhlungsborn,A Traveler,3.0,2,4,2
384,Hotel Vier Jahreszeiten KÜhlungsborn,J��rg,4.0,5,3,3
385,Hotel Vier Jahreszeiten KÜhlungsborn,Norbert,5.0,5,5,5
386,Hotel Vier Jahreszeiten KÜhlungsborn,B. 53 Jahre,5.0,4,5,4
387,Hotel Vier Jahreszeiten KÜhlungsborn,Erika,2.0,1,3,3
388,Hotel Vier Jahreszeiten KÜhlungsborn,Kai,5.0,5,4,4
389,Hotel Vier Jahreszeiten KÜhlungsborn,A Traveler,4.0,3,5,3
390,The Point,Airedales2,5.0,4,5,4
391,The Point,Bjarke R,5.0,5,4,5
392,The Point,Guillen,2.0,2,1,2
393,The Point,Julie F,5.0,5,4,5
394,The Point,ellen00007,5.0,4,4,4
